,word,POS,count
1,در,ADP,1000
2,ابتدای,NOUN,3
3,این,DET,502
4,مانور,NOUN,1
5,آزمایشی,ADJ,2
6,نشست,NOUN,5
7,و,CCONJ,1527
8,برخاست,NOUN,1
9,هلی‌کوپتر,NOUN,2
10,عملیات,NOUN,5
11,راپل,NOUN,1
12,(,PUNCT,45
13,پیاده,ADJ,2
14,کردن,NOUN,31
15,تکاورهای,NOUN,1
16,ویژه,ADJ,3
17,),PUNCT,45
18,اجرا,NOUN,8
19,شد,VERB,133
20,.,PUNCT,1573
21,دبیر,NOUN,5
22,شورای,PROPN,8
23,عالی,PROPN,6
24,امنیت,PROPN,4
25,ملی,PROPN,12
26,انتخابات,NOUN,15
27,اخیر,ADJ,13
28,را,ADP,772
29,نقطهٔ,NOUN,2
30,عطفی,ADJ,1
31,تاریخ,NOUN,13
32,انقلاب,NOUN,15
33,دانست,VERB,6
34,افزود,VERB,20
35,:,PUNCT,106
36,مردم,NOUN,65
37,شکوه,NOUN,8
38,جمهوریت,NOUN,1
39,نظام,NOUN,22
40,اسلامی,ADJ,24
41,به,ADP,1021
42,رخ,NOUN,5
43,جهانیان,NOUN,5
44,کشاندند,VERB,1
45,همین,DET,37
46,خاطر,NOUN,23
47,دشمنان,NOUN,11
48,جمهوری,PROPN,12
49,اسلامی,PROPN,20
50,با,ADP,504
51,تمام,NOUN,26
52,توان,NOUN,8
53,مقابله,NOUN,2
54,آن,PRON,126
55,برخاستند,VERB,2
56,حاضران,NOUN,1
57,اجرای,NOUN,14
58,سرود,NOUN,3
59,ای,INTJ,4
60,ایران,PROPN,63
61,محمد,PROPN,9
62,اصفهانی,PROPN,2
63,از,ADP,733
64,جای,NOUN,32
65,خود,PRON,177
66,"""",PUNCT,142
67,برخیز,VERB,1
68,موسی,PROPN,3
69,خشم,PROPN,1
70,هیاهو,PROPN,1
71,ترجمهٔ,NOUN,6
72,صالح,PROPN,1
73,حسینی,PROPN,6
74,گور,PROPN,2
75,یک,NUM,132
76,گل,PROPN,1
77,سرخ,PROPN,2
78,برای,ADP,236
79,امیلی,PROPN,1
80,نجف,PROPN,10
81,دریابندری,PROPN,1
82,همچنین,ADV,28
83,تسخیرناپذیر,PROPN,1
84,پرویز,PROPN,2
85,داریوش,PROPN,1
86,اشاره,NOUN,18
