,word,POS,count
1,kde,ADV,17
2,tá,DET,20
3,ľudská,ADJ,3
4,duša,NOUN,1
5,drieme,VERB,1
6,?,PUNCT,174
7,prečo,ADV,20
8,to,DET,299
9,tu,PART,2
10,píšem,VERB,1
11,je,AUX,249
12,dnešný,ADJ,2
13,humor,NOUN,2
14,suchý,ADJ,1
15,aby,SCONJ,59
16,sa,PRON,771
17,ľudia,NOUN,10
18,mohli,VERB,10
19,smiať,VERB,1
20,.,PUNCT,3366
21,niesme,AUX,1
22,prirodzení,ADJ,1
23,nás,PRON,40
24,neobvinili,VERB,1
25,z,ADP,188
26,farizejstva,NOUN,1
27,existuje,VERB,3
28,láska,NOUN,3
29,vhodná,ADJ,1
30,paralela,NOUN,1
31,čias,NOUN,2
32,môjho,DET,5
33,starého,ADJ,3
34,otca,NOUN,3
35,spustili,VERB,1
36,novú,ADJ,2
37,internetovú,ADJ,1
38,televíziu,NOUN,1
39,braňa,PROPN,1
40,krála,PROPN,1
41,ľahká,ADJ,1
42,otázka,NOUN,5
43,",",PUNCT,1931
44,ťažká,ADJ,2
45,odpoveď,NOUN,5
46,autobusy,NOUN,1
47,sú,AUX,53
48,pohodlím,NOUN,1
49,na,ADP,637
50,európskej,ADJ,2
51,úrovni,NOUN,5
52,iných,DET,1
53,stopárov,NOUN,1
54,som,AUX,572
55,tu,ADV,50
56,zatiaľ,ADV,3
57,ešte,ADV,8
58,nevidel,VERB,6
59,ako,ADV,28
60,dopadol,VERB,1
61,bohužiaľ,PART,1
62,strong,X,1
63,wind,X,1
64,!,PUNCT,150
65,silný,ADJ,4
66,vietor,NOUN,3
67,"""",PUNCT,267
68,ma,PRON,94
69,posiela,VERB,1
70,späť,ADV,6
71,vajíčko,NOUN,1
72,zastávke,NOUN,2
73,záhradkách,PROPN,1
74,čakal,VERB,3
75,veľmi,ADV,44
76,zaujímavý,ADJ,6
77,pohľad,NOUN,15
78,bežné,ADJ,3
79,prachovky,NOUN,1
80,neho,PRON,32
81,nestačia,VERB,1
82,”,PUNCT,2
83,ja,PRON,33
84,chcela,VERB,15
85,vyhrávať,VERB,1
86,a,CCONJ,746
87,vyhrávam,VERB,1
88,slovenskej,ADJ,4
89,kultúrnej,ADJ,1
90,histórie,NOUN,2
91,od,ADP,73
92,tej,DET,15
93,chvíle,NOUN,7
94,vstupuje,VERB,1
95,do,ADP,206
96,hry,NOUN,3
97,slovenská,ADJ,6
98,časť,NOUN,13
99,uhorska,PROPN,6
100,slovenských,ADJ,5
101,častí,NOUN,2
102,vtedy,ADV,22
103,utiahla,VERB,1
104,jedna,NUM,2
105,českých,ADJ,1
106,emigrovaných,ADJ,1
107,protestantov,NOUN,1
108,našli,VERB,2
109,v,ADP,505
110,používaní,NOUN,3
111,svoj,DET,7
112,vlastný,ADJ,5
113,spisovný,ADJ,4
114,jazyk,NOUN,10
115,presne,PART,5
116,tak,ADV,27
117,vo,ADP,45
118,svojej,DET,15
119,českej,ADJ,2
120,vlasti,NOUN,1
121,podľa,ADP,27
122,princípu,NOUN,1
123,siedmich,NUM,1
124,slobodných,ADJ,2
125,umení,NOUN,1
126,prvým,ADJ,5
127,stupňom,NOUN,3
128,trivia,NOUN,1
129,gramatika,NOUN,1
130,pojem,NOUN,1
131,slavico,X,1
132,-,PUNCT,18
133,bohemicus,X,1
134,zo,ADP,28
135,začiatku,NOUN,10
136,xviii,NUM,1
137,storočia,NOUN,18
138,začiatok,NOUN,1
139,pojmu,NOUN,1
140,česko,X,2
141,(,PUNCT,28
142,),PUNCT,29
143,slovenský,ADJ,3
144,európska,ADJ,1
145,únia,NOUN,1
146,čiže,CCONJ,1
147,rozmieňanie,NOUN,1
148,veľkých,ADJ,2
149,bankoviek,NOUN,1
150,drobné,ADJ,2
151,mince,NOUN,1
152,toto,DET,22
153,stieranie,NOUN,1
154,hraníc,NOUN,2
155,príjemné,ADJ,2
156,pokiaľ,SCONJ,4
157,ide,VERB,26
158,o,ADP,205
159,poriadneho,ADJ,1
160,občana,NOUN,3
161,ktorý,DET,36
162,cestuje,VERB,1
163,za,ADP,92
164,svojím,DET,6
165,obchodom,NOUN,1
166,alebo,CCONJ,21
167,svojou,DET,3
168,dovolenkou,NOUN,1
169,ľubomír,PROPN,11
170,ďurovič,PROPN,12
171,krman,PROPN,1
172,si,PRON,141
173,bol,AUX,78
174,vedomý,ADJ,1
175,že,SCONJ,250
176,meno,NOUN,8
177,slovákov,PROPN,2
178,treba,ADV,6
179,aj,PART,77
180,latinčine,NOUN,1
181,odlišovať,VERB,1
182,všeobecného,ADJ,1
183,názvu,NOUN,1
184,slavi,X,1
185,vytvoril,VERB,2
186,nové,ADJ,11
187,slovo,NOUN,9
188,slovacii,X,1
189,druhá,ADJ,5
190,doležalova,ADJ,1
191,inovácia,NOUN,1
192,je,VERB,52
193,gramatickom,ADJ,1
194,popise,NOUN,1
195,tohto,DET,17
196,jazyka,NOUN,5
197,obsiahly,ADJ,1
198,vlastivedný,ADJ,1
199,úvod,NOUN,1
200,praefatio,X,1
201,k,ADP,84
202,doležalovej,ADJ,2
203,gramatike,NOUN,2
204,napísal,VERB,6
205,generáciu,NOUN,2
206,starší,ADJ,3
207,matej,PROPN,1
208,bel,PROPN,1
209,každom,DET,5
210,prípade,NOUN,10
211,text,NOUN,6
212,jeho,DET,109
213,úvodu,NOUN,1
214,dal,VERB,6
215,punc,NOUN,1
216,najautoritatívnejšieho,ADJ,1
217,zdroja,NOUN,1
218,poznania,NOUN,1
219,vtedajšieho,ADJ,1
220,spisovného,ADJ,1
221,čechov,PROPN,1
222,i,CCONJ,38
223,táto,DET,12
224,kralická,ADJ,1
225,norma,NOUN,1
226,dodnes,ADV,3
227,základom,NOUN,4
228,spisovnej,ADJ,3
229,češtiny,NOUN,1
230,štúrovský,ADJ,1
231,nový,ADJ,7
232,má,VERB,25
233,niekoľko,DET,12
234,vrstiev,NOUN,3
235,radikálnou,ADJ,2
236,inováciou,NOUN,1
237,hláskoslovie,NOUN,1
238,tvaroslovie,NOUN,1
239,profesor,NOUN,8
240,eugen,PROPN,1
241,jóna,PROPN,1
242,dejinami,NOUN,1
243,slovenčiny,NOUN,1
244,dlhé,ADJ,6
245,roky,NOUN,4
246,zaoberal,VERB,1
247,uvedomil,VERB,1
248,potrebu,NOUN,2
249,dať,VERB,5
250,rúk,NOUN,4
251,medzinárodnej,ADJ,1
252,vedeckej,ADJ,1
253,verejnosti,NOUN,1
254,dostatočne,ADV,2
255,prístupný,ADJ,1
256,skutočný,ADJ,4
257,základného,ADJ,1
258,diela,NOUN,2
259,slovanských,ADJ,2
260,jazykov,NOUN,2
261,slovenské,ADJ,3
262,kultúrne,ADJ,1
263,kontinuum,NOUN,1
264,ku,ADP,21
265,konfliktom,NOUN,1
266,nedorozumeniam,NOUN,1
267,výrazne,ADV,3
268,prispelo,VERB,1
269,maďarské,ADJ,1
270,„,PUNCT,41
271,nemzet,X,1
272,“,PUNCT,652
273,dá,VERB,3
274,používať,VERB,2
275,oboch,NUM,6
276,týchto,DET,11
277,významoch,NOUN,1
278,malo,VERB,5
279,obrovský,ADJ,4
280,národnozáchovný,ADJ,1
281,význam,NOUN,5
282,druhej,ADJ,11
283,polovici,NOUN,2
284,xix,NUM,1
285,keď,SCONJ,118
286,maďarizácia,NOUN,1
287,reálne,ADV,1
288,ohrozovala,VERB,1
289,samotnú,ADJ,1
290,existenciu,NOUN,5
291,slovenského,ADJ,2
292,národa,NOUN,2
293,mal,VERB,38
294,veľké,ADJ,6
295,potešenie,NOUN,1
296,knižky,NOUN,1
297,antona,PROPN,1
298,dinku,PROPN,1
299,skalica,PROPN,1
300,–,PUNCT,18
301,moja,DET,9
302,osud,NOUN,2
303,poťešeňí,X,1
304,obaja,NUM,11
305,bratia,NOUN,1
306,išli,VERB,3
307,škôl,NOUN,1
308,ferda,PROPN,1
309,prevziať,VERB,1
310,obchod,NOUN,1
311,intenzívne,ADV,1
312,pamätám,VERB,1
313,prístavbu,NOUN,1
314,javiska,NOUN,1
315,cirkevnej,ADJ,5
316,sieni,NOUN,1
317,evanjelickej,ADJ,1
318,fare,NOUN,1
319,potom,ADV,35
320,prišiel,VERB,7
321,koniec,NOUN,6
322,vojny,NOUN,2
323,bolo,AUX,50
324,obnovené,ADJ,1
325,československo,PROPN,1
326,začali,VERB,5
327,celkom,ADV,8
328,iné,DET,10
329,pomery,NOUN,1
330,činnosť,NOUN,1
331,nášho,DET,8
332,združenia,NOUN,1
333,zatisli,VERB,1
334,pozadia,NOUN,1
335,potreby,NOUN,4
336,menuje,VERB,1
337,iniciatívnosť,NOUN,1
338,innovatívnosť,NOUN,1
339,odchody,NOUN,1
340,návraty,NOUN,1
341,ľubomíra,PROPN,2
342,ďuroviča,PROPN,2
343,i,PROPN,2
344,nebyť,VERB,2
345,toho,DET,23
346,slovensko,PROPN,2
347,by,AUX,76
348,dnes,ADV,16
349,neexistovalo,VERB,2
350,hovorí,VERB,4
351,možno,PART,13
352,pozitívna,ADJ,1
353,stránka,NOUN,1
354,rozdelenia,NOUN,1
355,republiky,NOUN,1
356,negatívnych,ADJ,1
357,stránok,NOUN,1
358,množstvo,NOUN,5
359,nakoniec,PART,1
360,takisto,ADV,1
361,môže,VERB,13
362,čech,PROPN,1
363,čítať,VERB,2
364,keby,SCONJ,18
365,chcel,VERB,9
366,oni,PRON,5
367,však,CCONJ,25
368,tú,DET,14
369,rovnakej,ADJ,1
370,miere,NOUN,1
371,nemajú,VERB,1
372,konkrétne,ADV,1
373,obdobie,NOUN,6
374,roku,NOUN,29
375,1963,NUM,1
376,1968,NUM,1
377,naraz,ADV,2
378,ukázalo,VERB,2
379,komunistická,ADJ,1
380,strana,NOUN,11
381,s,ADP,201
382,jej,DET,49
383,zločineckými,ADJ,1
384,spôsobmi,NOUN,1
385,skrachovala,VERB,1
386,vyšla,VERB,1
387,kniha,NOUN,2
388,paradigmatika,NOUN,1
389,ruštiny,NOUN,1
390,ktorá,DET,25
391,stala,VERB,2
392,celoštátnou,ADJ,1
393,univerzitnou,ADJ,1
394,učebnicou,NOUN,1
395,ruskej,ADJ,2
396,teoretickej,ADJ,1
397,morfológie,NOUN,1
398,uvedomovali,VERB,2
399,sme,AUX,140
400,dovtedy,ADV,3
401,však,PART,42
402,veľkej,ADJ,4
403,nádeje,NOUN,6
404,ich,PRON,36
405,poznám,VERB,3
406,pravdu,NOUN,6
407,sklamanie,NOUN,1
408,po,ADP,92
409,vojne,NOUN,5
410,komunistickej,ADJ,2
411,strany,NOUN,13
412,nevstúpil,VERB,1
413,piateho,ADJ,1
414,mája,NOUN,2
415,začalo,VERB,1
416,pražské,ADJ,2
417,povstanie,NOUN,2
418,rádia,NOUN,1
419,ozývala,VERB,1
420,výzva,NOUN,1
421,pomoc,NOUN,2
422,bola,AUX,59
423,zločinecká,ADJ,1
424,môj,DET,14
425,otec,NOUN,4
426,selfmademan,NOUN,1
427,nedávno,ADV,4
428,odovzdal,VERB,1
429,skalického,ADJ,1
430,záhorského,ADJ,2
431,múzea,NOUN,2
432,otcove,ADJ,1
433,denníky,NOUN,1
434,cenná,ADJ,1
435,zaujímavá,ADJ,3
436,pamiatka,NOUN,2
437,20,NUM,2
438,storočí,NOUN,7
439,polovicu,NOUN,2
440,všetkého,DET,3
441,čo,PRON,71
442,mne,PRON,22
443,mám,VERB,22
444,domu,NOUN,5
445,doma,ADV,7
446,povedalo,VERB,1
447,napríklad,PART,5
448,pri,ADP,57
449,stole,NOUN,10
450,veľa,ADV,1
451,rozprával,VERB,6
452,svojom,DET,7
453,literárnovednom,ADJ,1
454,výskume,NOUN,1
455,ale,CCONJ,69
456,nevyhýbali,VERB,2
457,samozrejme,PART,15
458,ani,PART,19
459,súčasným,ADJ,1
460,problémom,NOUN,2
461,mi,PRON,114
462,utkveli,VERB,1
463,pamäti,NOUN,4
464,dátumy,NOUN,2
465,mená,NOUN,2
466,dôležité,ADJ,4
467,udalosti,NOUN,6
468,minulosti,NOUN,6
469,medzi,ADP,28
470,ktoré,DET,58
471,neskôr,ADV,8
472,ľahšie,ADV,2
473,dokladať,VERB,1
474,vzťahy,NOUN,2
475,mama,NOUN,28
476,pochádzala,VERB,1
477,rodiny,NOUN,4
478,generáciami,NOUN,1
479,evanjelických,ADJ,1
480,farárov,NOUN,1
481,vzdelanecké,ADJ,1
482,pozadie,NOUN,1
483,pre,ADP,42
484,moju,DET,2
485,budúcnosť,NOUN,4
486,dôležitú,ADJ,4
487,úlohu,NOUN,7
488,rešpektovali,VERB,1
489,ste,AUX,22
490,bezvýhradne,ADV,2
491,viera,NOUN,1
492,dávať,VERB,1
493,človeku,NOUN,3
494,životnú,ADJ,2
495,istotu,NOUN,2
496,mieni,VERB,2
497,faktom,NOUN,1
498,náboženský,ADJ,1
499,fundamentalizmus,NOUN,1
500,prežíva,VERB,1
501,svoju,DET,8
502,regeneráciu,NOUN,1
503,bavilo,VERB,1
504,písať,VERB,3
505,kompozície,NOUN,1
506,vynikajúcom,ADJ,1
507,skalickom,ADJ,1
508,gymnáziu,NOUN,1
509,boli,VERB,11
510,dobré,ADJ,2
511,podmienky,NOUN,4
512,kultúru,NOUN,1
513,politike,NOUN,1
514,rozpade,NOUN,1
515,týždňov,NOUN,2
516,nespal,VERB,2
517,primárny,ADJ,1
518,záujem,NOUN,4
519,boli,AUX,34
520,humanióra,NOUN,1
521,umožniť,VERB,1
