,word,POS,count
1,в,ADP,724
2,дискусия,NOUN,6
3,",",PUNCT,2219
4,предполагам,VERB,12
5,ще,AUX,272
6,се,PRON,1041
7,засегна-(се),VERB,3
8,важен,ADJ,16
9,въпрос,NOUN,60
10,.,PUNCT,2737
11,дълъг,ADJ,14
12,път,NOUN,44
13,изглежда,VERB,16
14,аз,PRON,1513
15,съм,AUX,1144
16,уморя-(се),VERB,3
17,за,ADP,665
18,щастие,NOUN,5
19,не,PART,469
20,убия,VERB,5
21,никой,PRON,43
22,наистина,ADV,21
23,този,PRON,130
24,прилеп,NOUN,2
25,разбирам-(се),VERB,20
26,мога,VERB,143
27,да,AUX,1063
28,задоволя-(се),VERB,1
29,с,ADP,342
30,очевидно,ADV,7
31,нещастен,ADJ,2
32,създам,VERB,8
33,шпионин,NOUN,2
34,рота,NOUN,1
35,техен,PRON,40
36,кажи-речи,INTJ,1
37,цял,ADJ,40
38,нашенски,ADJ,1
39,този,DET,278
40,дума,NOUN,35
41,на,ADP,1475
42,старец,NOUN,5
43,трогна-(се),VERB,1
44,павел,PROPN,5
45,впрочем,ADV,3
46,вече,ADV,59
47,нахраня-(се),VERB,1
48,ето,PART,9
49,видя-(се),VERB,50
50,болен,ADJ,2
51,?,PUNCT,331
52,плувам,VERB,2
53,ли,PART,162
54,лягам-(си),VERB,3
55,дали,PART,27
56,някой,DET,37
57,от,ADP,476
58,играя,VERB,8
59,табла,NOUN,1
60,нямам,VERB,97
61,вечерям,VERB,1
62,седна,VERB,9
63,чуя,VERB,17
64,какъв,DET,95
65,говоря,VERB,45
66,из,ADP,13
67,град,NOUN,20
68,трябва,VERB,68
69,кажа,VERB,69
70,а,CCONJ,79
71,управител,NOUN,1
72,кис,INTJ,3
73,!,PUNCT,111
74,отец,NOUN,2
75,река,VERB,6
76,до,ADP,75
77,дванайсет,NUM,1
78,час,NOUN,16
79,искам,VERB,70
80,книжа,NOUN,2
81,готов,ADJ,5
82,-,PUNCT,251
83,хъка-мъка,INTJ,1
84,и,CCONJ,1138
85,стана,VERB,38
